ID,value
0,7.371062994
1,9.635048009
2,12.5804678
3,10.26523369
4,10.81015202
5,10.22254696
6,9.458999212
7,9.988395078
8,8.743112292
9,12.84224585
10,13.69712365
11,11.2687068
12,14.3448778
13,14.00333047
14,13.78142336
15,11.93558237
16,11.55162997
17,11.81144384
18,13.52433726
19,13.69826189
20,13.23091682
21,10.85414802
22,8.539442245
23,11.35829579
24,11.31939715
25,9.98993781
26,10.86132552
27,9.543413549
28,14.48829638
29,14.00570674
30,10.49105714
31,9.745764981
32,12.93720552
33,11.37049805
34,9.321090391
35,8.641275987
36,10.15477879
37,13.06204369
38,12.86293254
39,15.05201851
40,12.32551931
41,12.56135433
42,11.72527524
43,11.43657201
44,10.99049236
45,10.09569165
46,10.08806289
47,11.94445641
48,14.11598699
49,11.63640136
50,9.798439026
51,10.83581489
52,12.25852919
53,14.80035732
54,10.34241781
55,9.500132322
56,10.92625607
57,12.78574125
58,12.82416016
59,9.533184222
60,11.23844924
61,12.6468763
62,10.99925367
63,9.784774939
64,12.22146273
65,7.139361302
66,10.99365039
67,11.13846629
68,9.425126211
69,12.99256418
70,9.948886187
71,8.547700133
72,7.556825826
73,9.355212739
74,7.806172252
75,7.476288639
76,6.185396155
77,6.167825294
78,9.211969018
79,8.661022456
80,9.653515995
81,8.57914324
82,8.725373914
83,10.08240761
84,10.74132782
85,10.56725938
86,7.628646107
87,9.816519397
88,8.877426445
89,9.440166574
90,8.194999712
91,9.123062421
92,11.21372751
93,12.50045808
94,7.46114376
95,7.868634011
96,8.668007056
97,8.230462238
98,7.360417024
99,9.412268456
100,11.06424496
101,13.52186269
102,15.76456372
103,16.3532226
104,8.93698899
105,8.136725752
106,7.876773767
107,10.24336303
108,10.66260669
109,9.096305656
110,8.243729418
111,9.994304345
112,8.514342079
113,11.8137811
114,11.26434705
115,10.91354516
116,10.03632652
117,9.689495068
118,9.925611479
119,9.163819432
120,9.511270251
121,10.17019357
122,11.35177501
123,10.47565916
124,10.91048921
125,9.060553809
126,7.474710947
127,7.890303469
128,8.016010307
129,12.80645938
130,7.867817852
131,6.443389518
132,6.06650943
133,7.963783618
134,8.368552533
135,10.56222687
136,11.00582382
137,12.92829384
138,29.13052629
139,43.76452872
140,110.1490692
141,9.187458171
142,9.54694554
143,9.628507328
144,9.672981726
145,11.59753688
146,11.46731345
147,26.29826927
148,58.75908112
149,52.02713169
150,51.51449073
151,47.70032822
152,129.1400884
153,151.1922433
154,103.3968845
155,122.3741055
156,225.8872781
157,287.0646725
158,214.0264106
159,269.3260052
160,500.1844698
161,10.12078845
162,9.463638233
163,41.36576537
164,258.8562532
165,13.94353923
166,10.75385937
167,11.8860137
168,12.81103273
169,11.55642617
170,11.7678174
171,11.56236017
172,12.02087336
173,13.21915613
174,13.81762822
175,18.83559478
176,52.51737654
177,149.3979318
178,212.1209284
179,298.518108
180,529.1045281
181,117.3089692
182,373.6896257
183,200.0610637
